Source ID,Domain,Secondary Domains,Category,Source Name,Source Owner,Canonical Level,Data Available,Coverage,Access Link,Access Method,Ingestion Type,Automation,Refresh Frequency,Authentication,Cost,Terms / Licensing,Priority,AI Processing,Entity Types,Business Value,Example Opportunity,Research Status,Last Verified,Owner / Analyst,Notes
GOV-0012,Government,,Integrity,FAPIIS,GSA,,Contractor integrity and performance information,US federal,https://sam.gov/content/fapiis,Portal,,Semi-auto,,,,,P2,,,High,Assess contractor risk,Identified — validation pending,,,
GOV-0013,Government,,Subawards,FSRS,GSA,,Prime contractor and grantee subawards,US federal,https://www.fsrs.gov/,Portal / export,,Semi-auto,,,,,P2,,,High,Map subcontracting chains,Identified — validation pending,,,
GOV-0014,Government,,Subcontracting,SBA SUBNet,SBA,,Prime contractor subcontracting opportunities,US federal,https://subnet.sba.gov/client/dsp_Landing.cfm,HTML portal,,Semi-auto,,,,,P2,,,High,Find subcontracting openings,Identified — validation pending,,,
GOV-0015,Government,,Supplier Discovery,SBA Dynamic Small Business Search,SBA,,Small-business capabilities and certifications,US federal,https://dsbs.sba.gov/search/dsp_dsbs.cfm,HTML portal,,Semi-auto,,,,,P2,,,High,Find partners and competitors,Identified — validation pending,,,
GOV-0016,Government,,Certifications,SBA Certifications,SBA,,"8(a), WOSB, HUBZone and other certifications",US federal,https://certifications.sba.gov/,Portal,,Semi-auto,,,,,P2,,,High,Track set-aside eligibility,Identified — validation pending,,,
GOV-0017,Government,,Set-Asides,SBA HUBZone Map,SBA,,HUBZone eligibility geography,US federal,https://maps.certify.sba.gov/hubzone/map,GIS portal,,Semi-auto,,,,,P2,,,High,Identify HUBZone advantages,Identified — validation pending,,,
GOV-0018,Government,,Contract Vehicles,GSA eLibrary,GSA,,"Schedules, SINs, vendors and contracts",US federal,https://www.gsaelibrary.gsa.gov/,HTML portal,,Semi-auto,,,,,P2,,,High,Find incumbents and vehicle access,Identified — validation pending,,,
GOV-0019,Government,,Marketplace,GSA Advantage,GSA,,"Government products, vendors and pricing",US federal,https://www.gsaadvantage.gov/,HTML portal,,Semi-auto,,,,,P2,,,High,Benchmark catalog pricing,Identified — validation pending,,,
GOV-0020,Government,,Acquisition,Acquisition Gateway API,GSA,,Acquisition guidance and public listings,US federal,https://open.gsa.gov/api/ag-api/,REST API,,Auto,,,,,P1,,,High,Research acquisition practices,Identified — validation pending,,,
GOV-0021,Government,,Pricing,GSA CALC+,GSA,,Professional-services labor rates,US federal,https://buy.gsa.gov/pricing/qr/mas?page=1&page_size=20,Web app / export,,Semi-auto,,,,,P2,,,High,Price bids,Identified — validation pending,,,
GOV-0022,Government,,IT Spending,IT Dashboard,OMB / GSA,,Agency IT portfolios and performance,US federal,https://itdashboard.gov/,Portal / downloads,,Semi-auto,,,,,P2,,,High,Find large or troubled IT programs,Identified — validation pending,,,
GOV-0023,Government,,Grants,Grants.gov Search,HHS / Grants.gov,,"Grant notices, eligibility, deadlines and funding",US federal,https://www.grants.gov/search-grants,Search API / portal,,Auto,,,,,P2,,,Very High,Discover federal grants,Identified — validation pending,,,
GOV-0024,Government,,Grants,Grants.gov S2S,HHS / Grants.gov,,Grant opportunity and application services,US federal,https://www.grants.gov/web/grants/s2s/grantor_system_to_system.html,REST / SOAP,,Semi-auto,,,,,P2,,,Very High,Automate grant workflows,Identified — validation pending,,,
GOV-0025,Government,,Grants,Simpler.Grants.gov API,GSA,,Modern federal grant search and details,US federal,https://wiki.simpler.grants.gov/product/api,REST API,,Auto,,,,,P1,,,Very High,Build grant scout feeds,Identified — validation pending,,,
GOV-0026,Government,,R&D Funding,SBIR.gov Solicitations,SBA,,SBIR and STTR solicitations,US federal,https://www.sbir.gov/solicitations,Portal / feed,,Semi-auto,,,,,P2,,,High,Find research commercialization topics,Identified — validation pending,,,
GOV-0027,Government,,R&D Awards,SBIR.gov Awards,SBA,,Historical SBIR/STTR awards,US federal,https://www.sbir.gov/awards,Search / download,,Semi-auto,,,,,P2,,,High,Find funded companies and technologies,Identified — validation pending,,,
GOV-0028,Government,,R&D Funding,NSF Seed Fund,NSF,,Commercialization funding programs,US federal,https://seedfund.nsf.gov/,Portal,,Semi-auto,,,,,P2,,,High,Find startup funding,Identified — validation pending,,,
GOV-0029,Government,,R&D Funding,NIH SEED,NIH,,Biomedical small-business funding,US federal,https://seed.nih.gov/,Portal,,Semi-auto,,,,,P2,,,High,Find health commercialization opportunities,Identified — validation pending,,,
GOV-0030,Government,,Prize Challenges,Challenge.gov,GSA,,Federal prize competitions and deadlines,US federal,https://www.challenge.gov/,Portal / RSS,,Auto,,,,,P2,,,High,Find prize-funded opportunities,Identified — validation pending,,,
GOV-0031,Government,,Acquisition Rules,Acquisition.gov,FAR Council / GSA,,FAR and agency supplements,US federal,https://www.acquisition.gov/,HTML / XML,,Auto,,,,,P2,,,High,Track acquisition rule changes,Identified — validation pending,,,
GOV-0032,Government,,Defense Procurement,Defense Pricing and Contracting,DoD,,DoD contracting policy and guidance,US federal,https://www.acq.osd.mil/asda/dpc/,HTML / documents,,Semi-auto,,,,,P2,,,High,Detect defense procurement changes,Identified — validation pending,,,
GOV-0033,Government,,Defense Procurement,DLA DIBBS,DLA,,DLA bids and awards,US federal,https://www.dibbs.bsm.dla.mil/,Portal,,Semi-auto,,,,,P2,,,High,Find supply and manufacturing bids,Identified — validation pending,,,
GOV-0034,Government,,Defense Procurement,PIEE Solicitation Module,DoD,,DoD solicitations and procurement workflows,US federal,https://piee.eb.mil/,Authenticated portal,,Semi-auto,,,,,P2,,,High,Find and respond to defense opportunities,Identified — validation pending,,,
GOV-0035,Government,,Defense Research,DARPA Opportunities,DARPA,,"BAAs, solicitations and research opportunities",US federal,https://www.darpa.mil/work-with-us/opportunities,HTML / RSS,,Auto,,,,,P2,,,High,Find frontier-technology funding,Identified — validation pending,,,
GOV-0036,Government,,Defense Research,SAM.gov DoD Opportunities,DoD / GSA,,DoD solicitations published through SAM,US federal,https://sam.gov/content/opportunities,REST API / portal,,Auto,,,,,P1,,,High,Create defense-specific scouts,Identified — validation pending,,,
GOV-0037,Government,,Federal Jobs,USAJOBS API,OPM,,Federal job openings and occupations,US federal,https://developer.usajobs.gov/,REST API,,Auto,,,,,P1,,,High,Detect agency hiring demand,Identified — validation pending,,,
GOV-0038,Government,,Agency Directory,Federal Agency Directory API,GSA,,Federal agency contacts and directory data,US federal,https://open.gsa.gov/api/federal-agency-directory-api/,REST API,,Auto,,,,,P1,,,High,Normalize agencies and offices,Identified — validation pending,,,
GOV-0039,Government,,Per Diem,GSA Per Diem API,GSA,,Federal travel lodging and meal rates,US federal,https://open.gsa.gov/api/perdiem/,REST API,,Auto,,,,,P1,,,High,Price travel-heavy contracts,Identified — validation pending,,,
GOV-0040,Government,,Federal Holidays,OPM Operating Status,OPM,,Federal operating status,US federal,https://www.opm.gov/policy-data-oversight/snow-dismissal-procedures/current-status/,RSS / JSON-like feed,,Auto,,,,,P2,,,High,Trigger operational alerts,Identified — validation pending,,,
GOV-0041,Government,,Regulations,Federal Register API,Office of the Federal Register,,"Proposed rules, final rules, notices and presidential documents",US federal,https://www.federalregister.gov/developers/documentation/api/v1,REST API,,Auto,,,,,P1,,,Very High,Detect regulatory change,Identified — validation pending,,,
GOV-0042,Government,,Regulations,Federal Register Bulk Data,GPO / OFR,,Daily Federal Register editions,US federal,https://www.govinfo.gov/bulkdata/FR,Bulk XML,,Auto,,,,,P1,,,Very High,Build regulatory archive,Identified — validation pending,,,
GOV-0043,Government,,Rulemaking,Regulations.gov API,GSA,,"Dockets, documents and comments",US federal,https://open.gsa.gov/api/regulationsgov/,REST API,,Auto,,,,,P1,,,High,Track active rulemakings,Identified — validation pending,,,
GOV-0044,Government,,Regulations,eCFR API,OFR / GPO,,Current CFR structure and text,US federal,https://www.ecfr.gov/developers/documentation/api/v1,REST API,,Auto,,,,,P1,,,Very High,Monitor binding regulation changes,Identified — validation pending,,,
GOV-0045,Government,,Publications,GovInfo API,GPO,,"Official legislative, regulatory and judicial publications",US federal,https://api.govinfo.gov/docs/,REST API,,Auto,,,,,P1,,,High,Search government documents,Identified — validation pending,,,
GOV-0046,Government,,Publications,GovInfo Bulk Data,GPO,,"Bills, CFR, FR, Congressional Record and more",US federal,https://www.govinfo.gov/bulkdata,Bulk download,,Auto,,,,,P1,,,High,Build official publication archive,Identified — validation pending,,,
GOV-0047,Government,,Legislation,Congress.gov API,Library of Congress,,"Bills, amendments, members, committees and actions",US federal,https://api.congress.gov/,REST API,,Auto,,,,,P1,,,Very High,Detect legislative movement,Identified — validation pending,,,
GOV-0048,Government,,Legislation,Congress.gov Data Offsite,Library of Congress,,Legislative data access,US federal,https://www.congress.gov/help/using-data-offsite,API / bulk guidance,,Auto,,,,,P2,,,Very High,Backfill legislative history,Identified — validation pending,,,
GOV-0049,Government,,Votes,House Roll Call Votes,U.S. House,,House roll-call votes,US federal,https://clerk.house.gov/Votes,XML / HTML,,Auto,,,,,P2,,,High,Analyze coalitions,Identified — validation pending,,,
GOV-0050,Government,,Votes,Senate Roll Call Votes,U.S. Senate,,Senate roll-call votes,US federal,https://www.senate.gov/legislative/votes_new.htm,XML / HTML,,Auto,,,,,P2,,,High,Analyze vote likelihood,Identified — validation pending,,,
GOV-0051,Government,,Committees,House Committee Repository,U.S. House,,"Hearings, testimony and meeting documents",US federal,https://docs.house.gov/,HTML / XML,,Auto,,,,,P2,,,High,Detect policy development,Identified — validation pending,,,
GOV-0052,Government,,Committees,Senate Hearings,U.S. Senate,,Hearings and schedules,US federal,https://www.senate.gov/committees/hearings_meetings.htm,HTML / RSS,,Auto,,,,,P2,,,High,Monitor oversight activity,Identified — validation pending,,,
GOV-0053,Government,,Budget,CBO Data,Congressional Budget Office,,Budget projections and cost estimates,US federal,https://www.cbo.gov/data,CSV / XLSX / RSS,,Auto,,,,,P2,,,High,Find funded policy areas,Identified — validation pending,,,
GOV-0054,Government,,Oversight,GAO Reports,GAO,,"Audits, recommendations and testimonies",US federal,https://www.gao.gov/reports-testimonies,HTML / RSS,,Auto,,,,,P2,,,High,Find failed programs and reform demand,Identified — validation pending,,,
GOV-0055,Government,,Procurement Law,GAO Bid Protest Decisions,GAO,,Bid protest decisions,US federal,https://www.gao.gov/legal/bid-protests/search,Search / PDF,,Semi-auto,,,,,P2,,,High,Assess protest risk,Identified — validation pending,,,
GOV-0056,Government,,Courts,CourtListener API,Free Law Project,,"Opinions, dockets, judges and citations",US federal,https://www.courtlistener.com/help/api/,REST API,,Auto,,,,,P1,,,High,Track government litigation,Identified — validation pending,,,
GOV-0057,Government,,Courts,PACER Case Locator,U.S. Courts,,Federal dockets and filings,US federal,https://pcl.uscourts.gov/,Portal,,Semi-auto,,,,,P2,,,High,Find disputes and bankruptcies,Identified — validation pending,,,
GOV-0058,Government,,Courts,Supreme Court Opinions,U.S. Supreme Court,,Opinions and orders,US federal,https://www.supremecourt.gov/opinions/opinions.aspx,HTML / PDF,,Semi-auto,,,,,P2,,,High,Detect high-impact legal changes,Identified — validation pending,,,
GOV-0059,Government,,Judicial Statistics,U.S. Courts Data Tables,U.S. Courts,,Court and bankruptcy statistics,US federal,https://www.uscourts.gov/statistics-reports/data-tables,CSV / XLSX,,Auto,,,,,P2,,,High,Find litigation trends,Identified — validation pending,,,
GOV-0060,Government,,Political Finance,FEC API,FEC,,"Candidates, committees and campaign finance",US federal,https://api.open.fec.gov/developers/,REST API,,Auto,,,,,P1,,,High,Map political money,Identified — validation pending,,,
GOV-0061,Government,,Lobbying,Lobbying Disclosure Database,Senate / House,,Lobbying registrations and reports,US federal,https://lda.senate.gov/system/public/,Portal / downloads,,Semi-auto,,,,,P2,,,High,Track influence and policy priorities,Identified — validation pending,,,
GOV-0062,Government,,Foreign Influence,FARA Search,DOJ,,Foreign-agent registrations and filings,US federal,https://efile.fara.gov/ords/fara/f?p=1381:1,Portal / documents,,Semi-auto,,,,,P2,,,High,Map foreign influence,Identified — validation pending,,,
GOV-0063,Government,,Executive Policy,White House Presidential Actions,White House,,"Executive orders, memoranda and proclamations",US federal,https://www.whitehouse.gov/presidential-actions/,HTML / RSS,,Auto,,,,,P2,,,High,Detect immediate policy shifts,Identified — validation pending,,,
GOV-0064,Government,,Management Policy,OMB Circulars,OMB,,"Budget, grants and management directives",US federal,https://www.whitehouse.gov/omb/information-for-agencies/circulars/,HTML / PDF,,Semi-auto,,,,,P2,,,High,Track federal management rules,Identified — validation pending,,,
GOV-0065,Government,,Regulatory Planning,Unified Agenda,OIRA / OMB,,Planned and pending rulemakings,US federal,https://www.reginfo.gov/public/do/eAgendaMain,Portal / XML,,Auto,,,,,P2,,,High,Anticipate regulation,Identified — validation pending,,,
GOV-0066,Government,,Regulatory Burden,Information Collection Review,OIRA / OMB,,Information collection requests,US federal,https://www.reginfo.gov/public/do/PRAMain,Portal / XML,,Auto,,,,,P2,,,High,Detect reporting burdens,Identified — validation pending,,,
GOV-0067,Government,,Statutes,U.S. Code Downloads,House Law Revision Counsel,,Current codified statutes,US federal,https://uscode.house.gov/download/download.shtml,Bulk XML / text,,Auto,,,,,P1,,,High,Link opportunities to law,Identified — validation pending,,,
GOV-0068,Government,,Statutes,Statutes at Large,GovInfo,,Enacted public and private laws,US federal,https://www.govinfo.gov/app/collection/STATUTE,API / bulk,,Auto,,,,,P2,,,High,Track enacted law,Identified — validation pending,,,
GOV-0069,Government,,Fiscal Data,Treasury Fiscal Data API,U.S. Treasury,,"Debt, revenue, spending, interest and financial accounts",US federal,https://fiscaldata.treasury.gov/api/fiscal_service/,REST API,,Auto,,,,,P1,,,High,Track fiscal flows,Identified — validation pending,,,
GOV-0070,Government,,Fiscal Data,Daily Treasury Statement,U.S. Treasury,,Daily operating cash and debt transactions,US federal,https://fiscaldata.treasury.gov/datasets/daily-treasury-statement/,API / CSV,,Auto,,,,,P1,,,High,Monitor federal cash flow,Identified — validation pending,,,
GOV-0071,Government,,Fiscal Data,Monthly Treasury Statement,U.S. Treasury,,"Monthly receipts, outlays and deficit",US federal,https://fiscaldata.treasury.gov/datasets/monthly-treasury-statement/,API / CSV,,Auto,,,,,P1,,,High,Find spending growth,Identified — validation pending,,,
GOV-0072,Government,,Securities,Treasury Auctions Data,U.S. Treasury,,Treasury auction schedules and results,US federal,https://fiscaldata.treasury.gov/datasets/treasury-securities-auctions-data/,API / CSV,,Auto,,,,,P1,,,High,Monitor government financing,Identified — validation pending,,,
GOV-0073,Government,,Economic Indicators,FRED API,Federal Reserve Bank of St. Louis,,Economic time series,US federal,https://fred.stlouisfed.org/docs/api/fred/,REST API,,Auto,,,,,P1,,,High,Build macro scouts,Identified — validation pending,,,
GOV-0074,Government,,Finance,Federal Reserve Data Download Program,Federal Reserve Board,,"Rates, credit, banking and monetary data",US federal,https://www.federalreserve.gov/datadownload/,CSV / XML,,Auto,,,,,P2,,,High,Track credit shifts,Identified — validation pending,,,
GOV-0075,Government,,Banking,FDIC BankFind API,FDIC,,"Banks, branches, financials and failures",US federal,https://banks.data.fdic.gov/docs/,REST API,,Auto,,,,,P1,,,High,Detect bank growth and distress,Identified — validation pending,,,
GOV-0076,Government,,Banking,FDIC Failed Bank List,FDIC,,Failed banks and acquirers,US federal,https://www.fdic.gov/bank-failures/failed-bank-list,HTML / CSV,,Auto,,,,,P2,,,High,Find disruption and asset transfers,Identified — validation pending,,,
GOV-0077,Government,,Banking,FFIEC Call Reports,FFIEC,,Bank regulatory financial filings,US federal,https://cdr.ffiec.gov/public/,Bulk / portal,,Auto,,,,,P1,,,High,Score bank health,Identified — validation pending,,,
GOV-0078,Government,,Financial Filings,SEC EDGAR APIs,SEC,,Company submissions and XBRL facts,US federal,https://www.sec.gov/search-filings/edgar-application-programming-interfaces,REST JSON,,Semi-auto,,,,,P2,,,High,Detect filings and capital shifts,Identified — validation pending,,,
GOV-0079,Government,,Financial Filings,SEC EDGAR Full-Text Search,SEC,,Full-text filings,US federal,https://www.sec.gov/edgar/search/,Search / JSON,,Semi-auto,,,,,P2,,,High,Find strategic disclosures,Identified — validation pending,,,
GOV-0080,Government,,Investment Advisers,Investment Adviser Public Disclosure,SEC,,Registered advisers and filings,US federal,https://adviserinfo.sec.gov/,Portal / downloads,,Semi-auto,,,,,P2,,,High,Map advisers,Identified — validation pending,,,
GOV-0081,Government,,Funds,SEC Investment Company Data,SEC,,Fund filings and structured data,US federal,https://www.sec.gov/data-research/sec-markets-data/investment-company-data-resources,Bulk / XML,,Auto,,,,,P1,,,High,Track fund changes,Identified — validation pending,,,
GOV-0082,Government,,Commodity Markets,CFTC Commitments of Traders,CFTC,,Futures and options positions,US federal,https://www.cftc.gov/MarketReports/CommitmentsofTraders/index.htm,CSV downloads,,Auto,,,,,P2,,,High,Detect commodity positioning,Identified — validation pending,,,
GOV-0083,Government,,Economic Statistics,BEA API,BEA,,"GDP, industry, trade and regional accounts",US federal,https://apps.bea.gov/api/,REST API,,Auto,,,,,P1,,,High,Find regional growth,Identified — validation pending,,,
GOV-0084,Government,,Labor Statistics,BLS API,BLS,,"Employment, wages, prices and productivity",US federal,https://www.bls.gov/developers/,REST API,,Auto,,,,,P1,,,High,Detect labor shifts,Identified — validation pending,,,
GOV-0085,Government,,Labor Statistics,BLS QCEW,BLS,,County industry employment and wages,US federal,https://www.bls.gov/cew/downloadable-data-files.htm,Bulk CSV,,Auto,,,,,P1,,,High,Find local industry growth,Identified — validation pending,,,
GOV-0086,Government,,Labor Statistics,BLS OEWS,BLS,,Occupational employment and wages,US federal,https://www.bls.gov/oes/tables.htm,Bulk XLSX,,Auto,,,,,P1,,,High,Price workforce,Identified — validation pending,,,
GOV-0087,Government,,Labor Statistics,BLS JOLTS,BLS,,"Openings, hires and separations",US federal,https://www.bls.gov/jlt/data.htm,CSV / API,,Auto,,,,,P1,,,High,Detect hiring pressure,Identified — validation pending,,,
GOV-0088,Government,,Prices,BLS CPI,BLS,,Consumer prices,US federal,https://www.bls.gov/cpi/data.htm,API / downloads,,Auto,,,,,P1,,,High,Track inflation,Identified — validation pending,,,
GOV-0089,Government,,Prices,BLS PPI,BLS,,Producer prices,US federal,https://www.bls.gov/ppi/data.htm,API / downloads,,Auto,,,,,P1,,,High,Track supplier costs,Identified — validation pending,,,
GOV-0090,Government,,Demographics,Census Data API,Census Bureau,,"Population, housing and economic data",US federal,https://www.census.gov/data/developers/data-sets.html,REST API,,Auto,,,,,P1,,,High,Analyze markets,Identified — validation pending,,,
GOV-0091,Government,,Demographics,ACS API,Census Bureau,,"Income, housing, commuting and demographics",US federal,https://www.census.gov/data/developers/data-sets/acs-5year.html,REST API,,Auto,,,,,P1,,,High,Rank local markets,Identified — validation pending,,,
GOV-0092,Government,,Geography,TIGER/Line,Census Bureau,,"Boundaries, roads and geography",US federal,https://www.census.gov/geographies/mapping-files/time-series/geo/tiger-line-file.html,Bulk GIS,,Auto,,,,,P1,,,High,Spatially join records,Identified — validation pending,,,
GOV-0093,Government,,Business Activity,Business Formation Statistics,Census Bureau,,Business applications and formations,US federal,https://www.census.gov/econ/bfs/data.html,API / CSV,,Auto,,,,,P1,,,High,Detect startup activity,Identified — validation pending,,,
GOV-0094,Government,,Business Activity,County Business Patterns,Census Bureau,,"Establishments, employment and payroll",US federal,https://www.census.gov/programs-surveys/cbp/data.html,API / CSV,,Auto,,,,,P1,,,High,Identify industry gaps,Identified — validation pending,,,
GOV-0095,Government,,Construction,Building Permits Survey,Census Bureau,,Residential permit activity,US federal,https://www.census.gov/construction/bps/,API / CSV,,Auto,,,,,P1,,,High,Detect construction growth,Identified — validation pending,,,
GOV-0096,Government,,Trade,Census International Trade API,Census Bureau,,Imports and exports by product and country,US federal,https://www.census.gov/data/developers/data-sets/international-trade.html,REST API,,Auto,,,,,P1,,,High,Find trade opportunities,Identified — validation pending,,,
GOV-0097,Government,,Government Finance,Census Government Finance,Census Bureau,,"State and local revenues, spending and debt",US federal,https://www.census.gov/programs-surveys/gov-finances/data.html,API / downloads,,Auto,,,,,P1,,,High,Find fiscal stress,Identified — validation pending,,,
GOV-0098,Government,,Tax Statistics,IRS Statistics,IRS,,"Individual, business and nonprofit tax statistics",US federal,https://www.irs.gov/statistics,CSV / XLSX,,Auto,,,,,P2,,,High,Find tax-base trends,Identified — validation pending,,,
GOV-0099,Government,,Federal Workforce,FedScope,OPM,,Federal employment and occupations,US federal,https://www.fedscope.opm.gov/,Downloads / cube,,Semi-auto,,,,,P2,,,High,Find agency staffing shifts,Identified — validation pending,,,
GOV-0100,Government,,Healthcare,CMS Data API,CMS,,"Provider, facility, utilization and payment data",US federal,https://data.cms.gov/api-docs,REST API / bulk,,Auto,,,,,P1,,,Very High,Find care and reimbursement opportunities,Identified — validation pending,,,
GOV-0101,Government,,Healthcare,Care Compare Data,CMS,,Provider quality and facility data,US federal,https://data.cms.gov/provider-data/,API / CSV,,Auto,,,,,P1,,,Very High,Find quality and capacity gaps,Identified — validation pending,,,
GOV-0102,Government,,Healthcare Payments,Medicare Physician Data,CMS,,Provider services and payments,US federal,https://data.cms.gov/provider-summary-by-type-of-service/medicare-physician-other-practitioners,API / CSV,,Auto,,,,,P1,,,High,Find specialty demand,Identified — validation pending,,,
GOV-0103,Government,,Healthcare,Medicaid Data,CMS,,"Enrollment, expenditure and quality data",US federal,https://data.medicaid.gov/,API / CSV,,Auto,,,,,P1,,,Very High,Track state health markets,Identified — validation pending,,,
GOV-0104,Government,,Healthcare Relationships,Open Payments,CMS,,Industry payments to clinicians,US federal,https://openpaymentsdata.cms.gov/,Socrata API,,Auto,,,,,P1,,,High,Map commercial relationships,Identified — validation pending,,,
GOV-0105,Government,,Healthcare Providers,NPPES NPI Files,CMS,,Provider identities and taxonomy,US federal,https://download.cms.gov/nppes/NPI_Files.html,Bulk CSV,,Auto,,,,,P1,,,High,Build provider directory,Identified — validation pending,,,
GOV-0106,Government,,Healthcare Finance,HCRIS Cost Reports,CMS,,Provider cost reports,US federal,https://www.cms.gov/data-research/statistics-trends-and-reports/cost-reports,Bulk files,,Auto,,,,,P1,,,High,Find distressed facilities,Identified — validation pending,,,
GOV-0107,Government,,Public Health,CDC Data API,CDC,,Disease and public-health datasets,US federal,https://data.cdc.gov/,Socrata API,,Auto,,,,,P1,,,High,Detect health demand,Identified — validation pending,,,
GOV-0108,Government,,Public Health,CDC WONDER,CDC,,"Mortality, births and disease statistics",US federal,https://wonder.cdc.gov/,Query / export,,Semi-auto,,,,,P2,,,High,Find disparities,Identified — validation pending,,,
GOV-0109,Government,,Local Health,CDC PLACES,CDC,,Small-area chronic disease measures,US federal,https://www.cdc.gov/places/,API / GIS,,Auto,,,,,P1,,,High,Find care gaps,Identified — validation pending,,,
GOV-0110,Government,,Community Risk,CDC Social Vulnerability Index,CDC / ATSDR,,Community vulnerability indicators,US federal,https://www.atsdr.cdc.gov/place-health/php/svi/,GIS / CSV,,Auto,,,,,P2,,,High,Prioritize vulnerable markets,Identified — validation pending,,,
GOV-0111,Government,,Health Products,openFDA APIs,FDA,,"Drug, device and food events, recalls and labels",US federal,https://open.fda.gov/apis/,REST API,,Auto,,,,,P1,,,High,Detect product risk,Identified — validation pending,,,
GOV-0112,Government,,Pharmaceuticals,FDA Orange Book,FDA,,"Approved drugs, patents and exclusivity",US federal,https://www.fda.gov/drugs/drug-approvals-and-databases/orange-book-data-files,Bulk downloads,,Auto,,,,,P1,,,High,Find generic-entry opportunities,Identified — validation pending,,,
GOV-0113,Government,,Biologics,FDA Purple Book,FDA,,Biologics and biosimilars,US federal,https://purplebooksearch.fda.gov/,Portal / downloads,,Semi-auto,,,,,P2,,,High,Track biosimilar opportunities,Identified — validation pending,,,
GOV-0114,Government,,Medical Devices,FDA Device Databases,FDA,,"510(k), PMA, recalls and adverse events",US federal,https://www.fda.gov/medical-devices/device-advice-comprehensive-regulatory-assistance/medical-device-databases,Downloads / APIs,,Auto,,,,,P1,,,High,Find device opportunities,Identified — validation pending,,,
GOV-0115,Government,,Clinical Research,ClinicalTrials.gov API,NLM,,"Trials, sponsors, interventions and sites",US federal,https://clinicaltrials.gov/data-api/about-api,REST API,,Auto,,,,,P1,,,High,Track emerging treatments,Identified — validation pending,,,
GOV-0116,Government,,Research Funding,NIH RePORTER API,NIH,,"Projects, awards, investigators and organizations",US federal,https://api.reporter.nih.gov/,REST API,,Auto,,,,,P1,,,Very High,Find funded research,Identified — validation pending,,,
GOV-0117,Government,,Research Funding,NIH ExPORTER,NIH,,NIH projects and publications,US federal,https://reporter.nih.gov/exporter,Bulk CSV,,Auto,,,,,P1,,,Very High,Build funding history,Identified — validation pending,,,
GOV-0118,Government,,Biomedical Literature,PubMed E-utilities,NLM,,Biomedical publications,US federal,https://www.ncbi.nlm.nih.gov/books/NBK25501/,REST API,,Auto,,,,,P1,,,High,Track emerging science,Identified — validation pending,,,
